,sample_id,weight,area_max,d13C,se_C,d18O,se_O,pCO3,se_CO3,batch_id,notes
110,LAR140-A,1.088,16.911,-10.6123872,0.107532372,-11.02142981,0.20179399,0.03422575,0.0026352,23-318altered,
111,LAR142-A,0.998,21.219,-8.656989727,0.088032191,-6.220169445,0.231546092,0.046817363,0.003604686,23-318altered,
112,LAR144-A,0.957,17.361,-8.629254556,0.0877636,-8.000385034,0.216433665,0.039946192,0.003075643,23-318altered,
113,LAR151-A,1.05,15.135,-8.432236655,0.085863701,-5.96368697,0.234056057,0.031739911,0.002443803,23-318altered,
114,LAR152-A,1.052,18.69,-9.346486656,0.094790755,-5.931060538,0.234380861,0.039120657,0.003012081,23-318altered,
115,LAR153-A,0.96,16.342,-9.000036252,0.091376003,-7.469769147,0.220490662,0.037484054,0.002886071,23-318altered,
116,LAR169-A,1.045,19.171,-9.604974667,0.097360862,-9.081813166,0.209465533,0.040396251,0.003110295,23-318altered,
117,LAR171-A,1.051,14.69,-10.50158482,0.106402886,-7.578650877,0.21962561,0.030777381,0.002369694,23-318altered,
118,LAR172-A,1.088,16.609,-10.03467209,0.101671262,-8.794742418,0.211137972,0.03361454,0.00258814,23-318altered,
119,LAR177-A,1.06,14.777,-10.80869892,0.109539312,-7.610808134,0.219373296,0.030696792,0.002363489,23-318altered,
120,LAR178-A,0.926,12.366,-9.24252191,0.093762297,-7.345180763,0.22150065,0.029405654,0.002264078,23-318altered,
121,LAR179-A,0.983,16.361,-8.713444685,0.088579744,-6.28146556,0.230957804,0.036649572,0.002821821,23-318altered,
122,LAR188-A,1.06,21.959,-9.480310519,0.096119079,-9.123164958,0.209235528,0.045616218,0.003512205,23-318altered,
123,LAR189-A,1.063,14.328,-7.515069499,0.077231069,-7.067647134,0.223826364,0.029680068,0.002285206,23-318altered,
124,LAR190-A,1.026,14.05,-9.624336946,0.097554098,-6.379997464,0.230021658,0.030153765,0.002321678,23-318altered,
125,LAR194-A,1.015,13.783,-8.634031463,0.087809841,-7.06918397,0.223813201,0.029901315,0.002302241,23-318altered,
126,LAR196-A,1.099,18.735,-9.246170501,0.093798337,-6.156169844,0.232165125,0.03753778,0.002890208,23-318altered,
127,LAR197-A,1.003,16.45,-10.19152496,0.103255539,-4.95524495,0.244640664,0.036114163,0.002780597,23-318altered,
128,LAR198-A,1.022,14.707,-9.349973083,0.094825297,-6.760566455,0.226518485,0.03168734,0.002439755,23-318altered,
129,LAR119-A,1.048,16.053,-9.883599364,0.027449915,-4.471146563,0.053469003,0.042717352,0.004523528,231205_23-351,
130,LAR200-A,0.936,12.205,-9.978166355,0.027710532,-5.613766208,0.050807809,0.036363974,0.003850741,231205_23-351,
131,LAR201-A,0.975,14.989,-8.299308352,0.023186667,-7.136325731,0.047749617,0.042872365,0.004539943,231205_23-351,
132,LAR202-A,1.086,15.67,-8.511309449,0.023744022,-6.053095244,0.049864271,0.040239129,0.004261098,231205_23-351,
133,LAR203-A,0.981,12.493,-8.516958724,0.023758938,-9.501583699,0.044347771,0.035514617,0.003760799,231205_23-351,
134,LAR204-A,1.077,14.537,-9.27471696,0.025786767,-7.016348387,0.047968131,0.037641636,0.003986038,231205_23-351,
135,LAR206-A,0.975,14.048,-10.08872069,0.028015933,-7.200311385,0.047634751,0.040180865,0.004254928,231205_23-351,
136,LAR207-A,1.002,17.448,-10.00716171,0.027790556,-4.146792391,0.054274531,0.048560968,0.005142334,231205_23-351,
137,LAR209-A,0.997,27.176,-10.25114982,0.028466002,-6.169900327,0.049621421,0.076015083,0.008049571,231205_23-351,
138,LAR213-A,0.959,21.132,-10.17069802,0.028242882,-5.538547571,0.050974,0.061451345,0.006507353,231205_23-351,
139,LAR216-A,0.98,17.594,-9.139778213,0.025421984,-4.467377989,0.053478242,0.050066578,0.00530177,231205_23-351,
140,LAR217-A,0.991,13.906,-9.9767544,0.027706637,-6.852024835,0.048273961,0.039132534,0.004143916,231205_23-351,
141,LAR219-A,0.98,13.808,-9.557246973,0.026555151,-6.995710631,0.048006128,0.039292902,0.004160898,231205_23-351,
142,LAR220-A,1.099,14.371,-8.910940342,0.024806845,-4.763373812,0.052761502,0.036466887,0.003861639,231205_23-351,
143,LAR222-A,0.985,14.228,-9.983788522,0.027726045,-4.132531229,0.054310423,0.040282557,0.004265697,231205_23-351,
144,LAR223-A,0.986,15.528,-8.237621275,0.023025398,-6.186569466,0.049587045,0.043918551,0.004650728,231205_23-351,
145,LAR224-A,1.032,17.463,-10.04604838,0.027897962,-7.513209024,0.047090111,0.047189846,0.00499714,231205_23-351,
146,LAR226-A,1.075,14.922,-9.555076941,0.026549226,-6.20675214,0.049545518,0.038710428,0.004099217,231205_23-351,
147,LAR227-A,0.957,12.41,-10.40756353,0.028900876,-6.739122687,0.048488408,0.036163399,0.003829501,231205_23-351,
148,LAR230-A,1.049,15.477,-9.687260251,0.026910724,-6.428262458,0.049096624,0.041145344,0.004357061,231205_23-351,
149,LAR232-A,1.073,17.569,-9.722817107,0.027008176,-8.400541404,0.045706858,0.045662188,0.00483537,231205_23-351,
150,LAR234-A,0.974,14.173,-9.723659686,0.027010486,-5.436892921,0.0512007,0.040580018,0.004297196,231205_23-351,
151,LAR237-A,1.033,16.421,-8.680172701,0.024191254,-6.487885291,0.048977977,0.044331118,0.004694417,231205_23-351,
152,LAR119-A,0.934,14.344,-9.757886285,0.027104377,-4.573177982,0.053219976,0.042828494,0.004535297,231205_23-351,
153,LAR200-A,1.054,13.024,-9.807286004,0.027240032,-5.606283379,0.050824282,0.034459834,0.003649103,231205_23-351,
154,LAR201-A,0.936,13.843,-8.140857181,0.022773285,-7.122094604,0.047775323,0.041244284,0.004367538,231205_23-351,
155,LAR202-A,1.072,16.09,-8.327283151,0.02325994,-5.958353273,0.050063758,0.041857247,0.004432448,231205_23-351,
156,LAR203-A,1.094,14.218,-8.423248336,0.023511934,-9.452226963,0.044399738,0.036243538,0.003837987,231205_23-351,
157,LAR204-A,0.93,13.121,-9.152086835,0.025455196,-7.072565692,0.047865236,0.039345348,0.004166452,231205_23-351,
158,LAR206-A,1.079,14.846,-9.95193866,0.027638193,-7.287337025,0.047480411,0.038370496,0.00406322,231205_23-351,
159,LAR207-A,0.982,17.563,-9.899269279,0.02749306,-4.119888094,0.054342276,0.049876574,0.005281649,231205_23-351,
160,LAR209-A,1.013,27.255,-10.24429352,0.028446972,-6.306329973,0.049342154,0.075031934,0.007945461,231205_23-351,
161,LAR213-A,1.091,23.302,-10.16965512,0.028239992,-5.761406067,0.050485508,0.059563176,0.006307406,231205_23-351,
162,LAR216-A,1.072,18.751,-9.228927598,0.025662818,-4.810853758,0.052648233,0.048779691,0.005165496,231205_23-351,
163,LAR217-A,1.028,14.397,-9.908197617,0.027517649,-6.966919849,0.048059334,0.039056047,0.004135816,231205_23-351,
164,LAR219-A,1.036,15.008,-9.565331184,0.026577225,-7.01963887,0.047962084,0.040399172,0.004278046,231205_23-351,
165,LAR220-A,1.036,14.44,-8.8883396,0.02474634,-4.833608963,0.052594117,0.038870206,0.004116137,231205_23-351,
166,LAR222-A,1.079,15.817,-9.984326366,0.027727529,-4.151840363,0.054261836,0.040880111,0.004328974,231205_23-351,
167,LAR223-A,1.018,16.839,-8.239542047,0.023030413,-6.018520579,0.049936812,0.046129412,0.004884846,231205_23-351,
168,LAR224-A,1.085,18.381,-10.10061907,0.028048848,-7.678690924,0.046813752,0.047244232,0.005002899,231205_23-351,
169,LAR226-A,1.067,15.015,-9.593749225,0.026654859,-6.266445488,0.049423303,0.039243733,0.004155691,231205_23-351,
170,LAR227-A,0.948,11.948,-10.4753213,0.029089694,-6.906352759,0.048172019,0.035147649,0.003721939,231205_23-351,
171,LAR230-A,1.039,16.267,-9.795268199,0.027207015,-6.433328423,0.049086506,0.043661768,0.004623536,231205_23-351,
172,LAR232-A,0.955,16.492,-9.759629295,0.027109161,-8.437079361,0.04565523,0.04815921,0.00509979,231205_23-351,
173,LAR234-A,0.942,14.993,-9.762728106,0.027117666,-5.514685081,0.051026999,0.044386105,0.00470024,231205_23-351,
174,LAR237-A,0.0968,15.972,-8.672499914,0.024170872,-6.513545662,0.048927203,0.460143556,0.048726621,231205_23-351,
175,CMU001,1.025,23.843,-7.886395367,0.063152445,-5.300854598,0.082871526,0.042374462,0.00410058,24-108,
176,CMU002,1.086,23.428,-10.9383898,0.086776043,-8.943123906,0.072375255,0.039298191,0.003802889,24-108,
177,CMU003,0.998,21.59,-10.00545148,0.079347811,-5.263506022,0.083008397,0.039408442,0.003813558,24-108,
178,CMU004,0.996,28.659,-11.1616337,0.088572716,-5.982874646,0.080464219,0.052416602,0.005072358,24-108,
179,CMU005,1.001,20.918,-9.264738221,0.073561001,-8.181667905,0.074048327,0.038067403,0.003683785,24-108,
180,TSU-001,1.036,22.795,-8.455330193,0.067382083,-7.135328789,0.076826423,0.040081781,0.003878717,24-108,
181,TSU-002,1.05,23.308,-8.438620501,0.067256399,-3.991711949,0.087955382,0.040437368,0.003913127,24-108,
182,TSU-003,0.991,19.837,-9.29083499,0.07376292,-7.106525183,0.076910262,0.036464437,0.003528666,24-108,
183,TSU-005,0.996,23.737,-7.185543809,0.058105266,-2.932102503,0.092458437,0.043414386,0.004201213,24-108,
184,TSU-006,1.026,21.948,-9.42198858,0.074780001,-6.969992228,0.077312801,0.038968596,0.003770994,24-108,
185,TSU-007,0.996,25.092,-9.312330497,0.073929354,-3.465687464,0.090151061,0.045892647,0.004441034,24-108,
186,TSU-008,1.075,23.704,-9.708653242,0.077015813,-7.033201631,0.077125392,0.040168012,0.003887061,24-108,
187,TSU-009,1.066,25.357,-9.318518333,0.073977284,-4.328794827,0.086592388,0.04333191,0.004193232,24-108,
188,TSU-010,1.088,23.976,-11.07910694,0.087907761,-7.367904532,0.076163493,0.040143479,0.003884687,24-108,
189,TSU-012,1.048,21.029,-8.554434551,0.068129195,-5.260502514,0.083019426,0.036553125,0.003537248,24-108,
190,TSU-014,0.906,21.19,-8.235660914,0.065736578,-2.445030537,0.094630166,0.042605918,0.004122977,24-108,
191,TSU-017,1.048,23.66,-11.05833666,0.087740547,-7.202453903,0.076632519,0.041126393,0.003979804,24-108,
192,TSU-018,1.039,25.119,-9.780455421,0.077578434,-5.163958361,0.083375678,0.044040675,0.004261819,24-108,
193,TSU-019,1.024,21.464,-9.225028168,0.073254048,-5.478540493,0.082227373,0.038183688,0.003695038,24-108,
194,CMU004,1.071,32.871,-11.19585319,0.088848699,-6.091335066,0.080098069,0.055910144,0.005410428,24-108,
195,CMU005,0.958,21.943,-9.373864058,0.074406361,-8.121761717,0.074192818,0.041725127,0.004037743,24-108,
196,TSU-001,0.956,21.128,-8.639501667,0.068772731,-7.38502783,0.076115682,0.040259434,0.003895908,24-108,
197,TSU-002,1.095,25.255,-8.704344999,0.069264628,-4.105161544,0.087492695,0.042014618,0.004065757,24-108,
198,TSU-003,1.096,22.803,-9.520716577,0.07554809,-7.557464076,0.075641954,0.03790082,0.003667665,24-108,
199,TSU-005,1.069,29.593,-7.277104497,0.058752922,-3.070042943,0.091854539,0.05042878,0.004879996,24-108,
200,TSU-006,1.078,24.88,-9.67585164,0.076759128,-7.412335411,0.076039721,0.042043492,0.004068552,24-108,
201,TSU-007,1.028,23.491,-9.590596999,0.07609299,-4.00205722,0.087913027,0.041627043,0.004028252,24-108,
202,TSU-008,1.026,22.913,-9.959377078,0.078984713,-7.844442521,0.074885311,0.04068195,0.003936795,24-108,
203,TSU-009,1.083,27.829,-9.390295841,0.074533881,-4.711581939,0.08508876,0.046809749,0.004529782,24-108,
204,TSU-010,1.006,23.095,-11.09467998,0.088033171,-7.689015192,0.075290129,0.041820301,0.004046953,24-108,
205,TSU-012,1.064,22.784,-8.693716516,0.069183922,-5.269471428,0.082986502,0.039008164,0.003774823,24-108,
206,TSU-014,1.088,26.661,-7.87463944,0.063066199,-2.258963642,0.095475364,0.044639026,0.004319721,24-108,
207,TSU-015,0.977,25.278,-9.836420776,0.078017656,-5.017400237,0.083922853,0.04713194,0.004560961,24-108,
208,TSU-016,0.952,23.855,-8.302968684,0.066239187,-2.778680656,0.093135982,0.045646727,0.004417237,24-108,
209,TSU-017,0.991,22.744,-10.6871379,0.084762243,-7.08248512,0.076980526,0.041808093,0.004045772,24-108,
210,TSU-018,1.023,26.064,-9.561220527,0.0758638,-5.142576264,0.083455032,0.046412248,0.004491316,24-108,
211,TSU-019,1.071,23.893,-9.065975279,0.072028278,-5.529434924,0.08204503,0.040639502,0.003932687,24-108,
212,FINDEM00003,1.083,18.118,-10.09527597,0.0426574,-9.048282322,0.053370506,0.0298443,0.002896815,24-177,maxillary
213,FINDEM00022,1.078,20.04,-10.37433541,0.04383566,-6.191302615,0.058987314,0.033163362,0.003218977,24-177,mandibular
214,FINDEM00026,0.991,15.57,-9.286693087,0.039287067,-7.071022068,0.056953365,0.028028158,0.002720533,24-177,maxillary
215,FINDEM00030,0.946,14.331,-9.479902695,0.040085942,-6.700629236,0.057779522,0.027024953,0.002623157,24-177,maxillary
216,FINDEM00049,0.989,17.386,-10.91915194,0.046154998,-6.27136915,0.05879212,0.0313605,0.003043984,24-177,maxillary
217,FINDEM00062,0.917,14.123,-9.425159186,0.03985915,-7.971784247,0.055140583,0.027474969,0.002666838,24-177,maxillary
